timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
91.80,2,2_0,flow_1.14,405.34,13.78
91.80,2,2_0,flow_1.13,469.38,10.48
91.80,2,2_0,flow_1.12,490.46,11.01
91.80,2,2_0,flow_1.11,514.71,12.03
91.80,2,2_0,flow_1.10,574.62,11.78
91.80,2,2_0,flow_1.9,645.43,9.69
91.80,2,2_0,flow_1.8,708.14,12.51
91.80,2,2_0,flow_1.7,735.74,12.90
91.80,3,3_0,,,
91.80,3,3_1,flow_1.6,17.86,13.89
91.80,3,3_1,flow_0.7,51.80,13.89
91.80,3,3_1,flow_0.6,82.36,13.89
91.80,3,3_1,flow_0.5,112.92,13.89
91.80,3,3_1,flow_1.5,140.09,13.89
91.80,4,4_0,flow_1.4,13.62,13.89
91.80,4,4_0,flow_1.3,44.18,13.89
91.80,4,4_0,flow_0.4,78.13,13.89
91.80,4,4_0,flow_1.2,105.28,13.89
91.80,5,5_0,flow_0.3,53.91,13.89
91.80,5,5_0,flow_0.2,84.47,13.89
91.80,5,5_0,flow_1.1,111.64,13.89
91.80,5,5_0,flow_0.1,145.59,13.89
91.80,5,5_0,flow_1.0,172.74,13.89
91.80,5,5_0,flow_0.0,227.38,13.89
91.90,1,1_0,flow_0.25,33.71,15.10
91.90,1,1_0,flow_0.24,84.46,14.41
91.90,1,1_0,flow_0.23,142.54,15.11
91.90,1,1_0,flow_0.22,186.00,14.22
91.90,1,1_0,flow_0.21,249.60,13.93
91.90,1,1_0,flow_0.20,272.85,13.52
91.90,1,1_0,flow_0.19,336.43,14.16
91.90,1,1_0,flow_0.18,403.44,12.01
91.90,1,1_0,flow_0.17,423.84,11.79
91.90,1,1_0,flow_0.16,443.98,11.63
91.90,1,1_0,flow_0.15,478.65,10.58
91.90,1,1_0,flow_0.14,501.41,11.48
91.90,1,1_0,flow_0.13,526.73,12.67
91.90,1,1_0,flow_0.12,617.36,10.28
91.90,1,1_0,flow_0.11,661.46,11.01
91.90,1,1_0,flow_0.10,685.72,11.49
91.90,1,1_0,flow_0.9,765.72,13.31
91.90,1,1_0,flow_0.8,795.49,13.74
91.90,2,2_0,flow_1.20,31.30,13.77
91.90,2,2_0,flow_1.19,96.92,14.38
91.90,2,2_0,flow_1.18,149.31,13.23
91.90,2,2_0,flow_1.17,196.74,12.50
91.90,2,2_0,flow_1.16,317.84,14.13
91.90,2,2_0,flow_1.15,340.73,13.69
91.90,2,2_0,flow_1.14,406.71,13.73
91.90,2,2_0,flow_1.13,470.43,10.46
91.90,2,2_0,flow_1.12,491.56,11.00
91.90,2,2_0,flow_1.11,515.91,12.03
91.90,2,2_0,flow_1.10,575.80,11.78
91.90,2,2_0,flow_1.9,646.40,9.70
91.90,2,2_0,flow_1.8,709.39,12.52
91.90,2,2_0,flow_1.7,737.03,12.91
91.90,3,3_0,,,
91.90,3,3_1,flow_1.6,19.25,13.89
91.90,3,3_1,flow_0.7,53.19,13.89
91.90,3,3_1,flow_0.6,83.75,13.89
91.90,3,3_1,flow_0.5,114.30,13.89
91.90,3,3_1,flow_1.5,141.48,13.89
91.90,4,4_0,flow_1.4,15.01,13.89
91.90,4,4_0,flow_1.3,45.57,13.89
91.90,4,4_0,flow_0.4,79.52,13.89
91.90,4,4_0,flow_1.2,106.67,13.89
91.90,5,5_0,flow_0.3,55.30,13.89
91.90,5,5_0,flow_0.2,85.86,13.89
91.90,5,5_0,flow_1.1,113.02,13.89
91.90,5,5_0,flow_0.1,146.98,13.89
91.90,5,5_0,flow_1.0,174.12,13.89
91.90,5,5_0,flow_0.0,228.77,13.89
92.00,1,1_0,flow_0.25,35.21,15.04
92.00,1,1_0,flow_0.24,85.91,14.43
92.00,1,1_0,flow_0.23,144.05,15.12
92.00,1,1_0,flow_0.22,187.43,14.28
92.00,1,1_0,flow_0.21,251.00,14.02
92.00,1,1_0,flow_0.20,274.19,13.46
92.00,1,1_0,flow_0.19,337.84,14.11
92.00,1,1_0,flow_0.18,404.64,11.97
92.00,1,1_0,flow_0.17,425.01,11.76
92.00,1,1_0,flow_0.16,445.14,11.60
92.00,1,1_0,flow_0.15,479.71,10.57
92.00,1,1_0,flow_0.14,502.56,11.48
92.00,1,1_0,flow_0.13,528.00,12.68
